S.No,Company Name,Industry,Country,Date of Attack,Type of Attack,Attack Vector,Data Type Compromised,Records Exposed,Financial Loss ($),Recovery Cost ($),Downtime (Days),Employees,Ransom Demanded?,Ransom Paid?,Detect Time (Days),Contain Time (Days),Attack Source,Reported?,Regulatory Penalty ($),Public Impact
1,HealTech,Healthcare,Canada,2023-12-17,Credential Theft,Web App,Customer Data,421604,1952080,1691452,25,23698,No,No,44,3,External,Yes,79339,It admit catch history.
2,BrightMinds,Education,India,2023-03-23,DDoS,Third-party Vendor,Customer Data,55189,2623863,1008344,10,51023,Yes,No,84,8,External,No,269794,Top draw little television factor front onto.
3,EnergyCore,Energy,India,2025-02-03,DDoS,Cloud Misconfig,Health Records,951835,1112046,1397596,20,66529,No,Yes,17,2,Internal,Yes,636050,Second pass leave mean effect system.
4,EduFuture,Education,Australia,2024-09-10,DDoS,Email,User Credentials,78269,1369359,1525356,19,72354,No,Unknown,87,4,External,No,389596,Politics face tell project smile team.
5,ConnectNow,Telecom,Germany,2020-09-14,Ransomware,Third-party Vendor,Health Records,151598,2239648,766149,1,67430,Yes,No,3,4,Internal,No,64808,Significant if contain school team purpose.
6,MediTech Global,Healthcare,Australia,2023-11-19,Data Breach,Cloud Misconfig,Health Records,613066,188659,671208,13,78617,Yes,No,74,21,External,Yes,975637,Goal style what wear buy then interest.
7,NovaBank,Finance,USA,2022-01-26,Phishing,Email,Health Records,56280,2810434,1027139,23,69746,Yes,Unknown,56,21,Internal,Yes,987029,Establish shoulder class yes more box.
8,SkillBridge,Education,UK,2024-01-03,Ransomware,USB Drive,User Credentials,791330,1891199,521745,18,37143,No,No,39,11,Internal,No,646175,Officer down leave late raise.
9,CloudForge,Tech,Brazil,2021-02-07,Ransomware,Cloud Misconfig,User Credentials,661256,1151585,1787073,1,29471,No,Yes,78,18,Internal,No,24123,Then president run coach.
10,OpenCampus,Education,Germany,2024-08-26,Credential Theft,USB Drive,Employee Records,759297,2100435,1064848,17,65198,Yes,Yes,84,11,External,Yes,692524,Leave call believe nearly establish.
11,TrackSwift,Logistics,Brazil,2024-04-09,DDoS,Third-party Vendor,Financial Data,622954,2334707,1615279,28,44522,Yes,Yes,91,11,Internal,Yes,164845,Father along rock.
12,SafePay Group,Finance,India,2023-06-23,Credential Theft,Phishing Link,Employee Records,673624,204106,1792768,13,8147,Yes,No,6,5,External,Yes,920437,Fire game oil ten stand when.
13,SkillBridge,Education,France,2024-11-05,Credential Theft,Phishing Link,Employee Records,638389,3532672,343222,16,73662,No,Yes,62,2,External,Yes,3227,Worry dream six task position maintain.
14,OpenCampus,Education,Brazil,2024-01-24,Credential Theft,Cloud Misconfig,User Credentials,55207,4965883,1512568,11,69403,No,Unknown,81,18,Internal,Yes,882861,Each star do product natural.
15,EnergyCore,Energy,Canada,2022-05-21,Credential Theft,Email,Customer Data,975235,2258010,1473763,15,62873,Yes,No,11,5,External,No,629373,Position positive American letter environmental name.
16,LifeSure Health,Healthcare,Australia,2023-04-13,Malware,Web App,Employee Records,412500,2795611,530195,8,4584,Yes,No,51,3,Internal,No,273991,Candidate teach wind until send quite newspaper.
17,LifeSure Health,Healthcare,Singapore,2023-04-15,Malware,Email,Health Records,742177,380180,1717705,9,51087,No,Unknown,67,11,External,Yes,132295,Big beyond amount over sometimes north deep.
18,MegaMart,Retail,Germany,2024-09-21,Credential Theft,Phishing Link,Health Records,14040,3525426,96703,9,87012,Yes,Yes,70,14,External,No,825933,Rock tax could water window also save ability.
19,RoadRunner Logi,Logistics,USA,2023-05-01,DDoS,Third-party Vendor,Financial Data,899950,1579956,787122,21,34175,Yes,Unknown,24,5,External,Yes,451122,Stay quality nation network.
20,RoadRunner Logi,Logistics,Australia,2023-11-21,Ransomware,Web App,Health Records,472367,1549084,280256,13,57699,No,No,71,12,External,No,44514,Republican radio place recent.
21,GreenVolt,Energy,France,2023-12-28,Phishing,Email,Financial Data,63441,1255473,275618,18,3431,No,Unknown,97,5,External,No,780751,Hold series analysis old direction.
22,SkillBridge,Education,Japan,2023-05-20,Credential Theft,Phishing Link,Health Records,385471,3792689,633850,16,7590,Yes,Unknown,72,2,External,Yes,599333,May hospital job short south quickly.
23,ShopEase,Retail,UK,2020-11-10,Phishing,Cloud Misconfig,Health Records,172830,3148139,717362,3,79325,Yes,No,86,20,Internal,No,700475,Value against score recent police.
24,UrbanCart,Retail,India,2022-01-13,Malware,Third-party Vendor,Customer Data,187012,956932,585340,4,35844,Yes,Unknown,37,25,External,Yes,77195,My science industry car follow a.
25,EduFuture,Education,India,2020-09-04,Malware,USB Drive,Employee Records,148961,3539330,36804,25,62042,Yes,Unknown,29,6,External,No,838846,Budget enter song community country.
26,TrackSwift,Logistics,India,2022-03-08,Ransomware,Email,Health Records,211095,4424976,756989,25,73965,Yes,Unknown,100,28,Internal,No,654035,Support professor why then project recent necessary foot.
27,NovaBank,Finance,Canada,2023-05-28,Malware,Web App,Financial Data,902273,1823880,1781643,27,37975,No,Unknown,39,20,External,Yes,852809,No along each believe whatever Congress current need.
28,EduFuture,Education,Brazil,2024-07-02,Malware,USB Drive,User Credentials,20931,4240770,125877,23,52963,Yes,No,86,27,Internal,Yes,554770,Goal event direction alone food game plant.
29,TrustCapital,Finance,France,2020-12-03,Data Breach,Web App,User Credentials,498040,1615706,1763408,3,31272,Yes,Yes,22,16,Internal,No,853402,Professor source room relate toward picture.
30,TechBloom,Tech,Brazil,2022-06-14,Malware,Third-party Vendor,Customer Data,991525,2615142,24387,11,92470,Yes,Yes,31,18,External,No,320697,Eight hair approach answer half price perform wind.
31,BioGenix,Healthcare,India,2022-08-12,DDoS,Cloud Misconfig,Financial Data,591021,947899,1902802,24,28385,No,No,79,8,External,Yes,263278,Office response dinner agent owner senior.
32,MegaMart,Retail,USA,2025-01-26,Credential Theft,Web App,Customer Data,431268,2192147,1795949,21,35633,No,Yes,58,8,Internal,Yes,233566,Outside form wall necessary finally.
33,EnergyCore,Energy,Australia,2024-11-14,Ransomware,Email,Health Records,382326,1689954,1031900,27,54108,No,No,62,13,External,No,402772,Responsibility recognize street yeah tough their through.
34,BrightMinds,Education,Brazil,2025-01-29,DDoS,Web App,Employee Records,789640,4375201,1108029,15,43129,No,Yes,72,17,Internal,Yes,168804,Approach those time.
35,ConnectNow,Telecom,Japan,2022-04-29,Credential Theft,USB Drive,Employee Records,560201,3786704,282259,30,81780,Yes,Yes,2,10,Internal,Yes,817798,Full strong moment.
36,NovaBank,Finance,USA,2021-12-07,Malware,USB Drive,Health Records,738787,738579,101909,18,22483,Yes,Yes,76,6,External,Yes,25545,Trial attorney particularly factor degree whose charge.
37,LifeSure Health,Healthcare,Japan,2024-02-15,Malware,Web App,Customer Data,457193,1635300,732275,30,85946,Yes,No,54,15,External,Yes,285369,Effect enough check participant baby.
38,LifeSure Health,Healthcare,France,2020-07-23,Ransomware,Cloud Misconfig,Financial Data,321708,2941087,1790123,24,88201,No,No,62,18,Internal,Yes,957098,Site myself look education floor.
39,TechBloom,Tech,Brazil,2025-04-12,Malware,Web App,Financial Data,827331,114862,1817608,21,56076,No,Yes,37,20,Internal,No,398823,Industry community century list employee soon reveal.
40,EduFuture,Education,Brazil,2021-09-26,Phishing,Email,User Credentials,764536,1610255,1960169,15,97182,No,No,15,19,External,Yes,858695,Today although baby lawyer nor stuff must.
41,FastMove,Logistics,USA,2024-08-27,Credential Theft,Phishing Link,Financial Data,403040,4710760,1677981,23,49758,No,Unknown,86,28,Internal,Yes,307673,Baby buy himself could claim paper.
42,ShopEase,Retail,Canada,2022-06-22,Data Breach,Phishing Link,Financial Data,293023,3423413,650325,6,74405,No,No,29,15,Internal,No,40286,Mouth against benefit another they.
43,EnergyCore,Energy,UK,2022-03-05,Phishing,Third-party Vendor,Financial Data,689570,3896507,810545,19,93831,No,Unknown,2,9,External,Yes,31432,Decide operation manager increase most.
44,CargoXpress,Logistics,France,2025-06-22,DDoS,Phishing Link,User Credentials,325087,2946012,1568437,13,43523,Yes,Yes,97,30,Internal,No,554379,Republican hand west pattern.
45,MediTech Global,Healthcare,Brazil,2020-08-13,Credential Theft,Third-party Vendor,Employee Records,741670,1482629,811053,21,84189,No,Yes,76,10,External,Yes,872470,Water computer record response prove president fact hear.
46,NovaBank,Finance,UK,2024-07-30,Ransomware,Web App,Employee Records,181858,2124331,1179801,11,93662,No,Unknown,56,15,Internal,Yes,87773,Or serve country drop.
47,EnergyCore,Energy,UK,2025-06-15,Data Breach,Web App,User Credentials,662185,698848,243839,11,42174,Yes,Unknown,94,27,External,No,512484,Former either rest address message else describe she.
48,HealTech,Healthcare,Australia,2022-06-27,Malware,Cloud Misconfig,Customer Data,322251,4567946,1674742,13,16304,No,Unknown,66,30,Internal,Yes,681745,National often north best difficult.
49,TechBloom,Tech,Canada,2020-10-30,Phishing,Web App,Employee Records,479366,1831528,1038665,22,18541,No,Unknown,18,15,Internal,Yes,385488,Day alone radio at base prove.
50,OpenCampus,Education,Canada,2024-06-03,Data Breach,Cloud Misconfig,Financial Data,915488,2490761,1607140,23,16178,Yes,Unknown,53,22,External,No,137939,Day compare our standard authority.
51,SafePay Group,Finance,Japan,2025-04-30,Credential Theft,Phishing Link,Health Records,678215,230957,886293,6,4608,Yes,Unknown,1,2,Internal,No,746409,Least goal red defense left space.
52,BioGenix,Healthcare,Japan,2024-04-02,DDoS,Phishing Link,Customer Data,334613,630354,1341345,13,96500,Yes,Unknown,77,22,Internal,Yes,887648,Boy challenge every.
53,NetLine,Telecom,USA,2024-12-04,Data Breach,Web App,Customer Data,328170,1555034,1569183,23,72343,Yes,Unknown,68,25,External,No,264957,Yes around short fact believe.
54,UrbanCart,Retail,Brazil,2024-11-26,Malware,Phishing Link,Employee Records,145700,2738970,330935,8,42530,Yes,Yes,70,16,Internal,Yes,158253,Company behavior treat model.
55,BioGenix,Healthcare,USA,2023-08-05,Ransomware,Email,Financial Data,607289,1642702,1209187,30,40650,No,Unknown,32,17,Internal,No,66656,Full oil boy company practice because tonight.
56,TrackSwift,Logistics,USA,2022-11-12,Data Breach,Phishing Link,Financial Data,675922,1564258,619549,5,75417,No,Yes,80,26,Internal,Yes,618399,Significant describe charge.
57,EnergyCore,Energy,Japan,2021-04-25,Credential Theft,Phishing Link,Financial Data,275481,98845,1438663,8,36760,Yes,Unknown,83,16,Internal,No,829212,Decide blue while car.
58,SafePay Group,Finance,Germany,2020-10-18,DDoS,Web App,Financial Data,249681,4225854,1228033,16,28132,Yes,Unknown,24,11,Internal,No,869460,Notice meeting boy thought.
59,MegaMart,Retail,Australia,2021-08-05,Data Breach,Email,User Credentials,202050,3128439,1427220,9,95184,Yes,Yes,71,1,Internal,Yes,705244,Image spring three ago senior parent specific.
60,Learnify,Education,Japan,2024-11-10,Data Breach,USB Drive,Financial Data,380109,1710997,1746955,5,46350,Yes,Yes,88,24,Internal,Yes,692910,Power yet for news play school simple peace.
61,UrbanCart,Retail,Japan,2020-12-10,Phishing,Web App,Customer Data,123069,4624787,25058,14,32298,Yes,Yes,18,14,External,Yes,110890,Impact whom suddenly college already change.
